Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S264622487,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264618751,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264612600,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264622487,Spotted Dove,Spilopelia chinensis,2027,2,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264627047,Spotted Dove,Spilopelia chinensis,2027,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264612600,Spotted Dove,Spilopelia chinensis,2027,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264622487,Laughing Dove,Spilopelia senegalensis,2034,2,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,,,
S264627047,Greater Coucal,Centropus sinensis,3075,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264612600,Greater Coucal,Centropus sinensis,3075,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264618751,Asian Koel,Eudynamys scolopaceus,3219,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264627047,Asian Koel,Eudynamys scolopaceus,3219,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,"1m, 1h",,
S264627047,Gray-bellied Cuckoo,Cacomantis passerinus,3317,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264612600,Little Swift,Apus affinis,4081,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,,,
S264625313,Shikra,Tachyspiza badia,8069,1,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,H,,
S264622487,Black Kite,Milvus migrans,8249,1,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,Slow gliding even close to humans below,,
S264618751,Coppersmith Barbet,Psilopogon haemacephalus,10586,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264627047,Coppersmith Barbet,Psilopogon haemacephalus,10586,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,,,
S264622487,White-cheeked Barbet,Psilopogon viridis,10646,1,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264612600,White-cheeked Barbet,Psilopogon viridis,10646,2,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264625313,White-cheeked Barbet,Psilopogon viridis,10646,1,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,H,,
S264612600,Rose-ringed Parakeet,Psittacula krameri,12232,2,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264627047,Small Minivet,Pericrocotus cinnamomeus,18379,5,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,&gt;=5; m & f,,
S264622487,Asian Tit,Parus cinereus,21969,1,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264612600,Asian Tit,Parus cinereus,21969,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264618751,Common Tailorbird,Orthotomus sutorius,22921,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264612600,Common Tailorbird,Orthotomus sutorius,22921,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264625313,Common Tailorbird,Orthotomus sutorius,22921,1,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,H,,
S264622487,Gray-breasted Prinia,Prinia hodgsonii,23006,2,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264622487,Ashy Prinia,Prinia socialis,23045,4,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264618751,Ashy Prinia,Prinia socialis,23045,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264627047,Ashy Prinia,Prinia socialis,23045,3,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264612600,Ashy Prinia,Prinia socialis,23045,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264625313,Ashy Prinia,Prinia socialis,23045,2,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,H,,
S264622487,Eastern Red-rumped Swallow,Cecropis daurica,24009,2,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,,,
S264625313,Eastern Red-rumped Swallow,Cecropis daurica,24009,1,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,,,
S264627047,White-browed Bulbul,Pycnonotus luteolus,24455,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,,,
S264612600,White-browed Bulbul,Pycnonotus luteolus,24455,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264622487,Red-whiskered Bulbul,Pycnonotus jocosus,24503,2,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,"1s, 1h",,
S264618751,Red-whiskered Bulbul,Pycnonotus jocosus,24503,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264627047,Red-whiskered Bulbul,Pycnonotus jocosus,24503,2,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264625313,Red-whiskered Bulbul,Pycnonotus jocosus,24503,2,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,,,
S264622487,Yellow-eyed Babbler,Chrysomma sinense,25154,2,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,,,
S264622487,Indian White-eye,Zosterops palpebrosus,25407,1,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,H,,
S264618751,Indian White-eye,Zosterops palpebrosus,25407,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264627047,Indian White-eye,Zosterops palpebrosus,25407,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264612600,Indian White-eye,Zosterops palpebrosus,25407,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264625313,Indian White-eye,Zosterops palpebrosus,25407,1,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,H,,
S264612600,Puff-throated Babbler,Pellorneum ruficeps,25958,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264625313,Puff-throated Babbler,Pellorneum ruficeps,25958,2,IN-KA,Bengaluru Urban,L50921206,"Kaggalipura Road, Bengaluru, Karnataka, IN (12.804, 77.541)",12.8038567,77.5407483,2025-08-03,09:29 AM,eBird - Traveling Count,20,1,0.679,,1,,H,,
S264612600,Yellow-billed Babbler,Argya affinis,26369,2,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,,,
S264612600,Jungle Myna,Acridotheres fuscus,27628,2,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,,,
S264618751,Common/Jungle Myna,Acridotheres tristis/fuscus,27635,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264622487,Indian Blackbird,Turdus simillimus,28413,1,IN-KA,Bengaluru Urban,L50920552,"Bengaluru, Karnataka, IN (12.803, 77.543)",12.8029833,77.5433283,2025-08-03,08:29 AM,eBird - Traveling Count,30,1,1.198,,1,,Check the call,,
S264612600,Oriental Magpie-Robin,Copsychus saularis,28732,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264618751,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,29761,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,08:09 AM,eBird - Stationary Count,15,1,,,1,,H,,
S264612600,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,29761,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
S264627047,Purple-rumped Sunbird,Leptocoma zeylonica,30003,1,IN-KA,Bengaluru Urban,L50919581,"Bengaluru, Karnataka, IN (12.804, 77.544)",12.8039245,77.5436547,2025-08-03,09:58 AM,eBird - Traveling Count,24,1,0.798,,1,,H,,
S264612600,Purple-rumped Sunbird,Leptocoma zeylonica,30003,1,IN-KA,Bengaluru Urban,L50917926,"Bengaluru, Karnataka, IN (12.874, 77.527)",12.8742645,77.5271957,2025-08-03,06:46 AM,eBird - Traveling Count,30,1,0.1,,1,,H,,
